"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DIVISLAB","EQ","13-Jul-2015","       1876.45","       1884.45","       1889.95","       1861.95","       1878.00","       1881.95","       1877.26","      58582","           109973812.95","       5405","      26191","         44.71"
"DIVISLAB","EQ","14-Jul-2015","       1881.95","       1888.00","       1897.45","       1880.00","       1882.10","       1888.75","       1887.49","      52064","            98270129.20","       6847","      26283","         50.48"
"DIVISLAB","EQ","15-Jul-2015","       1888.75","       1890.75","       1898.90","       1876.10","       1884.00","       1886.05","       1885.26","      95656","           180336092.90","       6229","      57577","         60.19"
"DIVISLAB","EQ","16-Jul-2015","       1886.05","       1896.75","       1910.00","       1887.00","       1909.95","       1908.10","       1903.03","      72641","           138238355.30","       6322","      40005","         55.07"
"DIVISLAB","EQ","17-Jul-2015","       1908.10","       1915.25","       1985.60","       1901.25","       1971.00","       1975.00","       1944.82","     283826","           551989706.35","      13825","     155866","         54.92"
"DIVISLAB","EQ","20-Jul-2015","       1975.00","       1985.00","       1999.75","       1950.00","       1961.00","       1959.15","       1976.66","     184718","           365123816.05","      12707","      87335","         47.28"
"DIVISLAB","EQ","21-Jul-2015","       1959.15","       1966.95","       1977.00","       1930.00","       1954.00","       1946.55","       1957.25","     130025","           254491437.75","      15598","      70343","         54.10"
"DIVISLAB","EQ","22-Jul-2015","       1946.55","       1951.00","       1959.90","       1929.65","       1946.00","       1943.75","       1944.47","      45433","            88343081.30","       6732","      27468","         60.46"
"DIVISLAB","EQ","23-Jul-2015","       1943.75","       1948.00","       1983.75","       1941.40","       1970.00","       1976.75","       1970.57","     144264","           284282892.40","      25210","      83778","         58.07"
"DIVISLAB","EQ","24-Jul-2015","       1976.75","       1976.75","       1992.85","       1947.90","       1952.30","       1955.75","       1972.53","      78340","           154528100.85","       7156","      35157","         44.88"
"DIVISLAB","EQ","27-Jul-2015","       1955.75","       1956.00","       1959.35","       1900.00","       1910.00","       1906.40","       1916.73","     100444","           192524054.95","       7978","      62859","         62.58"
"DIVISLAB","EQ","28-Jul-2015","       1906.40","       1910.00","       1943.00","       1902.00","       1912.05","       1915.05","       1921.07","      79346","           152429608.75","       9780","      43293","         54.56"
"DIVISLAB","EQ","29-Jul-2015","       1915.05","       1916.00","       1942.00","       1901.15","       1908.10","       1908.35","       1917.10","     108481","           207969341.65","       9434","      57532","         53.03"
"DIVISLAB","EQ","30-Jul-2015","       1908.35","       1924.00","       1942.00","       1915.00","       1925.50","       1930.15","       1930.96","     186682","           360475623.95","       6648","     145605","         78.00"
"DIVISLAB","EQ","31-Jul-2015","       1930.15","       1930.25","       1978.00","       1930.25","       1965.00","       1961.60","       1961.64","     198396","           389181695.80","       6114","     118228","         59.59"
"DIVISLAB","EQ","03-Aug-2015","       1961.60","       1966.00","       1994.90","       1954.25","       1970.00","       1972.50","       1982.65","     110579","           219239214.95","       7451","      58182","         52.62"
"DIVISLAB","EQ","04-Aug-2015","       1972.50","       1972.00","       1972.00","       1940.20","       1960.00","       1960.35","       1954.22","     152452","           297924876.20","       8542","     112707","         73.93"
"DIVISLAB","EQ","05-Aug-2015","       1960.35","       1980.95","       2010.00","       1953.25","       1996.85","       1996.80","       1993.12","     124104","           247354411.90","       9473","      61125","         49.25"
"DIVISLAB","EQ","06-Aug-2015","       1996.80","       1985.00","       2023.15","       1972.10","       1997.90","       1996.30","       2006.21","     221351","           444076133.30","      13443","     120314","         54.35"
"DIVISLAB","EQ","07-Aug-2015","       1996.30","       2002.90","       2015.70","       1957.90","       1969.00","       1970.35","       1986.63","     105439","           209468005.35","       8157","      47387","         44.94"
"DIVISLAB","EQ","10-Aug-2015","       1970.35","       2110.00","       2145.00","       2055.00","       2058.15","       2062.75","       2086.19","     575438","          1200475160.05","      37441","     174261","         30.28"
